Depth (ft),Density (g/cm^3),Overburden stress (psi),Hydrostatic pore pressure (psi),Overburden gradient (psi/ft),Porosity (-)
1563,1.801631014,870.7652803,687.72,0.557111504,0.528452345
1564,1.801811531,871.5551049,688.16,0.557260297,0.528346158
1565,1.801992048,872.3450086,688.6,0.557408951,0.528239972
1566,1.802172565,873.1349914,689.04,0.557557466,0.528133786
1567,1.802353082,873.9250534,689.48,0.557705841,0.528027599
1568,1.802533598,874.7151945,689.92,0.557854078,0.527921413
1569,1.802714115,875.5054148,690.36,0.558002176,0.527815226
1570,1.802894632,876.2957142,690.8,0.558150136,0.52770904
1571,1.803075149,877.0860927,691.24,0.558297958,0.527602853
1572,1.803255666,877.8765503,691.68,0.558445643,0.527496667
1573,1.803436183,878.6670871,692.12,0.558593189,0.527390481
1574,1.8036167,879.4577029,692.56,0.558740599,0.527284294
1575,1.803797217,880.248398,693,0.558887872,0.527178108
1576,1.803977734,881.0391721,693.44,0.559035008,0.527071921
1577,1.80415825,881.8300254,693.88,0.559182007,0.526965735
1578,1.804338767,882.6209578,694.32,0.559328871,0.526859549
1579,1.804519284,883.4119693,694.76,0.559475598,0.526753362
1580,1.804699801,884.20306,695.2,0.55962219,0.526647176
1581,1.804880318,884.9942298,695.64,0.559768646,0.526540989
1582,1.805060835,885.7854787,696.08,0.559914968,0.526434803
1583,1.805241352,886.5768068,696.52,0.560061154,0.526328617
1584,1.805421869,887.368214,696.96,0.560207206,0.52622243
1585,1.805602386,888.1597003,697.4,0.560353123,0.526116244
1586,1.805782903,888.9512658,697.84,0.560498907,0.526010057
1587,1.805963419,889.7429103,698.28,0.560644556,0.525903871
1588,1.806143936,890.534634,698.72,0.560790072,0.525797684
1589,1.806324453,891.3264369,699.16,0.560935454,0.525691498
1590,1.80650497,892.1183188,699.6,0.561080704,0.525585312
1591,1.806685487,892.9102799,700.04,0.56122582,0.525479125
1592,1.806866004,893.7023202,700.48,0.561370804,0.525372939
1593,1.807046521,894.4944395,700.92,0.561515656,0.525266752
1594,1.807227038,895.286638,701.36,0.561660375,0.525160566
1595,1.807407555,896.0789156,701.8,0.561804963,0.52505438
1596,1.807588072,896.8712724,702.24,0.561949419,0.524948193
1597,1.807768588,897.6637082,702.68,0.562093743,0.524842007
1598,1.807949105,898.4562232,703.12,0.562237937,0.52473582
1599,1.808129622,899.2488174,703.56,0.562382,0.524629634
1600,1.808310139,900.0414906,704,0.562525932,0.524523448
1601,1.808490656,900.834243,704.44,0.562669733,0.524417261
1602,1.808671173,901.6270745,704.88,0.562813405,0.524311075
1603,1.80885169,902.4199852,705.32,0.562956946,0.524204888
1604,1.809032207,903.212975,705.76,0.563100358,0.524098702
1605,1.809212724,904.0060439,706.2,0.563243641,0.523992515
1606,1.809393241,904.7991919,706.64,0.563386794,0.523886329
1607,1.809573757,905.5924191,707.08,0.563529819,0.523780143
1608,1.809754274,906.3857254,707.52,0.563672715,0.523673956
1609,1.809934791,907.1791108,707.96,0.563815482,0.52356777
1610,1.810115308,907.9725754,708.4,0.563958121,0.523461583
1611,1.810295825,908.7661191,708.84,0.564100633,0.523355397
1612,1.810476342,909.5597419,709.28,0.564243016,0.523249211
1613,1.810656859,910.3534438,709.72,0.564385272,0.523143024
1614,1.810837376,911.1472249,710.16,0.564527401,0.523036838
1615,1.811017893,911.9410851,710.6,0.564669403,0.522930651
1616,1.81119841,912.7350244,711.04,0.564811278,0.522824465
1617,1.811378926,913.5290429,711.48,0.564953026,0.522718279
1618,1.811559443,914.3231405,711.92,0.565094648,0.522612092
1619,1.81173996,915.1173172,712.36,0.565236144,0.522505906
1620,1.811920477,915.9115731,712.8,0.565377514,0.522399719
1621,1.812100994,916.7059081,713.24,0.565518759,0.522293533
1622,1.812281511,917.5003222,713.68,0.565659878,0.522187347
1623,1.812462028,918.2948154,714.12,0.565800872,0.52208116
1624,1.812642545,919.0893878,714.56,0.565941741,0.521974974
1625,1.812823062,919.8840393,715,0.566082486,0.521868787
1626,1.813003579,920.6787699,715.44,0.566223106,0.521762601
1627,1.813184095,921.4735797,715.88,0.566363602,0.521656414
1628,1.813364612,922.2684686,716.32,0.566503973,0.521550228
1629,1.813545129,923.0634366,716.76,0.566644221,0.521444042
1630,1.813725646,923.8584838,717.2,0.566784346,0.521337855
1631,1.813906163,924.65361,717.64,0.566924347,0.521231669
1632,1.81408668,925.4488155,718.08,0.567064225,0.521125482
1633,1.814267197,926.2441,718.52,0.56720398,0.521019296
1634,1.814447714,927.0394637,718.96,0.567343613,0.52091311
1635,1.814628231,927.8349065,719.4,0.567483123,0.520806923
1636,1.814808748,928.6304284,719.84,0.567622511,0.520700737
1637,1.814989264,929.4260294,720.28,0.567761777,0.52059455
1638,1.815169781,930.2217096,720.72,0.567900922,0.520488364
1639,1.815350298,931.017469,721.16,0.568039944,0.520382178
1640,1.815530815,931.8133074,721.6,0.568178846,0.520275991
1641,1.815711332,932.609225,722.04,0.568317626,0.520169805
1642,1.815891849,933.4052217,722.48,0.568456286,0.520063618
1643,1.816072366,934.2012975,722.92,0.568594825,0.519957432
1644,1.816252883,934.9974525,723.36,0.568733244,0.519851245
1645,1.8164334,935.7936866,723.8,0.568871542,0.519745059
1646,1.816613917,936.5899998,724.24,0.56900972,0.519638873
1647,1.816794433,937.3863922,724.68,0.569147779,0.519532686
1648,1.81697495,938.1828636,725.12,0.569285718,0.5194265
1649,1.817155467,938.9794143,725.56,0.569423538,0.519320313
1650,1.817335984,939.776044,726,0.569561239,0.519214127
1651,1.817516501,940.5727529,726.44,0.569698821,0.519107941
1652,1.817697018,941.3695409,726.88,0.569836284,0.519001754
1653,1.817877535,942.166408,727.32,0.569973629,0.518895568
1654,1.818058052,942.9633543,727.76,0.570110855,0.518789381
1655,1.818238569,943.7603797,728.2,0.570247964,0.518683195
1656,1.818419085,944.5574842,728.64,0.570384954,0.518577009
1657,1.818599602,945.3546678,729.08,0.570521827,0.518470822
1658,1.818780119,946.1519306,729.52,0.570658583,0.518364636
1659,1.818960636,946.9492725,729.96,0.570795222,0.518258449
1660,1.819141153,947.7466936,730.4,0.570931743,0.518152263
1661,1.81932167,948.5441937,730.84,0.571068148,0.518046076
1662,1.819502187,949.341773,731.28,0.571204436,0.51793989
1663,1.819682704,950.1394315,731.72,0.571340608,0.517833704
1664,1.819863221,950.937169,732.16,0.571476664,0.517727517
1665,1.820043738,951.7349857,732.6,0.571612604,0.517621331
1666,1.820224254,952.5328815,733.04,0.571748428,0.517515144
1667,1.820404771,953.3308565,733.48,0.571884137,0.517408958
1668,1.820585288,954.1289106,733.92,0.572019731,0.517302772
1669,1.820765805,954.9270438,734.36,0.572155209,0.517196585
1670,1.820946322,955.7252561,734.8,0.572290573,0.517090399
1671,1.821126839,956.5235476,735.24,0.572425821,0.516984212
1672,1.821307356,957.3219182,735.68,0.572560956,0.516878026
1673,1.821487873,958.1203679,736.12,0.572695976,0.51677184
1674,1.82166839,958.9188967,736.56,0.572830882,0.516665653
1675,1.821848907,959.7175047,737,0.572965674,0.516559467
1676,1.822029423,960.5161918,737.44,0.573100353,0.51645328
1677,1.82220994,961.3149581,737.88,0.573234918,0.516347094
1678,1.822390457,962.1138035,738.32,0.57336937,0.516240907
1679,1.822570974,962.912728,738.76,0.573503709,0.516134721
1680,1.822751491,963.7117316,739.2,0.573637935,0.516028535
1681,1.822932008,964.5108144,739.64,0.573772049,0.515922348
1682,1.823112525,965.3099762,740.08,0.57390605,0.515816162
1683,1.823293042,966.1092173,740.52,0.574039939,0.515709975
1684,1.823473559,966.9085374,740.96,0.574173716,0.515603789
1685,1.823654076,967.7079367,741.4,0.574307381,0.515497603
1686,1.823834592,968.5074151,741.84,0.574440934,0.515391416
1687,1.824015109,969.3069727,742.28,0.574574376,0.51528523
1688,1.824195626,970.1066093,742.72,0.574707707,0.515179043
1689,1.824376143,970.9063251,743.16,0.574840927,0.515072857
1690,1.82455666,971.7061201,743.6,0.574974036,0.514966671
1691,1.824737177,972.5059941,744.04,0.575107034,0.514860484
1692,1.824917694,973.3059473,744.48,0.575239922,0.514754298
1693,1.825098211,974.1059796,744.92,0.575372699,0.514648111
1694,1.825278728,974.9060911,745.36,0.575505367,0.514541925
1695,1.825459245,975.7062816,745.8,0.575637924,0.514435739
1696,1.825639761,976.5065513,746.24,0.575770372,0.514329552
1697,1.825820278,977.3069002,746.68,0.575902711,0.514223366
1698,1.826000795,978.1073282,747.12,0.57603494,0.514117179
1699,1.826181312,978.9078352,747.56,0.57616706,0.514010993
1700,1.826361829,979.7084215,748,0.576299071,0.513904806
1701,1.826542346,980.5090868,748.44,0.576430974,0.51379862
1702,1.826722863,981.3098313,748.88,0.576562768,0.513692434
1703,1.82690338,982.1106549,749.32,0.576694454,0.513586247
1704,1.827083897,982.9115577,749.76,0.576826031,0.513480061
1705,1.827264414,983.7125395,750.2,0.576957501,0.513373874
1706,1.82744493,984.5136005,750.64,0.577088863,0.513267688
1707,1.827625447,985.3147407,751.08,0.577220118,0.513161502
1708,1.827805964,986.1159599,751.52,0.577351265,0.513055315
1709,1.827986481,986.9172583,751.96,0.577482304,0.512949129
1710,1.828166998,987.7186359,752.4,0.577613237,0.512842942
1711,1.828347515,988.5200925,752.84,0.577744063,0.512736756
1712,1.828528032,989.3216283,753.28,0.577874783,0.51263057
1713,1.828708549,990.1232432,753.72,0.578005396,0.512524383
1714,1.828889066,990.9249372,754.16,0.578135903,0.512418197
1715,1.829069583,991.7267104,754.6,0.578266303,0.51231201
1716,1.829250099,992.5285627,755.04,0.578396598,0.512205824
1717,1.829430616,993.3304941,755.48,0.578526787,0.512099637
1718,1.829611133,994.1325047,755.92,0.578656871,0.511993451
1719,1.82979165,994.9345944,756.36,0.57878685,0.511887265
1720,1.829972167,995.7367632,756.8,0.578916723,0.511781078
1721,1.830152684,996.5390111,757.24,0.579046491,0.511674892
1722,1.830333201,997.3413382,757.68,0.579176155,0.511568705
1723,1.830513718,998.1437444,758.12,0.579305714,0.511462519
1724,1.830694235,998.9462298,758.56,0.579435168,0.511356333
1725,1.830874751,999.7487942,759,0.579564518,0.511250146
1726,1.831055268,1000.551438,759.44,0.579693765,0.51114396
1727,1.831235785,1001.354161,759.88,0.579822907,0.511037773
1728,1.831416302,1002.156962,760.32,0.579951946,0.510931587
1729,1.831596819,1002.959843,760.76,0.580080881,0.510825401
1730,1.831777336,1003.762804,761.2,0.580209713,0.510719214
1731,1.831957853,1004.565843,761.64,0.580338442,0.510613028
1732,1.83213837,1005.368961,762.08,0.580467068,0.510506841
1733,1.832318887,1006.172159,762.52,0.580595591,0.510400655
1734,1.832499404,1006.975435,762.96,0.580724011,0.510294468
1735,1.83267992,1007.778791,763.4,0.580852329,0.510188282
1736,1.832860437,1008.582226,763.84,0.580980545,0.510082096
1737,1.833040954,1009.38574,764.28,0.581108659,0.509975909
1738,1.833221471,1010.189333,764.72,0.58123667,0.509869723
1739,1.833401988,1010.993005,765.16,0.58136458,0.509763536
1740,1.833582505,1011.796757,765.6,0.581492389,0.50965735
1741,1.833763022,1012.600587,766.04,0.581620096,0.509551164
1742,1.833943539,1013.404497,766.48,0.581747702,0.509444977
1743,1.834124056,1014.208486,766.92,0.581875207,0.509338791
1744,1.834304573,1015.012554,767.36,0.582002611,0.509232604
1745,1.834485089,1015.816701,767.8,0.582129914,0.509126418
1746,1.834665606,1016.620927,768.24,0.582257117,0.509020232
1747,1.834846123,1017.425232,768.68,0.58238422,0.508914045
1748,1.83502664,1018.229617,769.12,0.582511222,0.508807859
1749,1.835207157,1019.03408,769.56,0.582638125,0.508701672
1750,1.835387674,1019.838623,770,0.582764927,0.508595486
1751,1.835568191,1020.643245,770.44,0.58289163,0.508489299
1752,1.835748708,1021.447946,770.88,0.583018234,0.508383113
1753,1.835929225,1022.252726,771.32,0.583144738,0.508276927
1754,1.836109742,1023.057585,771.76,0.583271143,0.50817074
1755,1.836290258,1023.862524,772.2,0.583397449,0.508064554
1756,1.836470775,1024.667541,772.64,0.583523657,0.507958367
1757,1.836651292,1025.472638,773.08,0.583649765,0.507852181
1758,1.836831809,1026.277813,773.52,0.583775776,0.507745995
1759,1.837012326,1027.083068,773.96,0.583901687,0.507639808
1760,1.837192843,1027.888402,774.4,0.584027501,0.507533622
1761,1.83737336,1028.693815,774.84,0.584153217,0.507427435
1762,1.837553877,1029.499308,775.28,0.584278835,0.507321249
1763,1.837734394,1030.304879,775.72,0.584404356,0.507215063
1764,1.837914911,1031.11053,776.16,0.584529779,0.507108876
1765,1.838095427,1031.916259,776.6,0.584655104,0.50700269
1766,1.838275944,1032.722068,777.04,0.584780333,0.506896503
1767,1.838456461,1033.527956,777.48,0.584905465,0.506790317
1768,1.838636978,1034.333923,777.92,0.585030499,0.506684131
1769,1.838817495,1035.139969,778.36,0.585155438,0.506577944
1770,1.838998012,1035.946094,778.8,0.585280279,0.506471758
1771,1.839178529,1036.752299,779.24,0.585405025,0.506365571
1772,1.839359046,1037.558582,779.68,0.585529674,0.506259385
1773,1.839539563,1038.364945,780.12,0.585654227,0.506153198
1774,1.83972008,1039.171387,780.56,0.585778685,0.506047012
1775,1.839900596,1039.977908,781,0.585903047,0.505940826
1776,1.840081113,1040.784508,781.44,0.586027313,0.505834639
1777,1.84026163,1041.591187,781.88,0.586151484,0.505728453
1778,1.840442147,1042.397945,782.32,0.58627556,0.505622266
1779,1.840622664,1043.204783,782.76,0.586399541,0.50551608
1780,1.840803181,1044.0117,783.2,0.586523427,0.505409894
1781,1.840983698,1044.818695,783.64,0.586647218,0.505303707
1782,1.841164215,1045.62577,784.08,0.586770915,0.505197521
1783,1.841344732,1046.432924,784.52,0.586894517,0.505091334
1784,1.841525249,1047.240157,784.96,0.587018025,0.504985148
1785,1.841705765,1048.047469,785.4,0.587141439,0.504878962
1786,1.841886282,1048.854861,785.84,0.58726476,0.504772775
1787,1.842066799,1049.662331,786.28,0.587387986,0.504666589
1788,1.842247316,1050.469881,786.72,0.587511119,0.504560402
1789,1.842427833,1051.27751,787.16,0.587634159,0.504454216
1790,1.84260835,1052.085218,787.6,0.587757105,0.504348029
1791,1.842788867,1052.893005,788.04,0.587879958,0.504241843
1792,1.842969384,1053.700871,788.48,0.588002718,0.504135657
1793,1.843149901,1054.508816,788.92,0.588125385,0.50402947
1794,1.843330417,1055.31684,789.36,0.58824796,0.503923284
1795,1.843510934,1056.124944,789.8,0.588370442,0.503817097
1796,1.843691451,1056.933127,790.24,0.588492832,0.503710911
1797,1.843871968,1057.741388,790.68,0.58861513,0.503604725
1798,1.844052485,1058.549729,791.12,0.588737336,0.503498538
1799,1.844233002,1059.358149,791.56,0.588859449,0.503392352
1800,1.844413519,1060.166649,792,0.588981471,0.503286165
1801,1.844594036,1060.975227,792.44,0.589103402,0.503179979
1802,1.844774553,1061.783884,792.88,0.589225241,0.503073793
1803,1.84495507,1062.592621,793.32,0.589346989,0.502967606
1804,1.845135586,1063.401437,793.76,0.589468646,0.50286142
1805,1.845316103,1064.210332,794.2,0.589590211,0.502755233
1806,1.84549662,1065.019306,794.64,0.589711686,0.502649047
1807,1.845677137,1065.828359,795.08,0.589833071,0.50254286
1808,1.845857654,1066.637491,795.52,0.589954364,0.502436674
1809,1.846038171,1067.446702,795.96,0.590075568,0.502330488
1810,1.846218688,1068.255993,796.4,0.590196681,0.502224301
1811,1.846399205,1069.065362,796.84,0.590317704,0.502118115
1812,1.846579722,1069.874811,797.28,0.590438637,0.502011928
1813,1.846760239,1070.684339,797.72,0.590559481,0.501905742
1814,1.846940755,1071.493946,798.16,0.590680235,0.501799556
1815,1.847121272,1072.303632,798.6,0.590800899,0.501693369
1816,1.847301789,1073.113397,799.04,0.590921474,0.501587183
1817,1.847482306,1073.923242,799.48,0.59104196,0.501480996
1818,1.847662823,1074.733165,799.92,0.591162357,0.50137481
1819,1.84784334,1075.543168,800.36,0.591282665,0.501268624
1820,1.848023857,1076.35325,800.8,0.591402884,0.501162437
1821,1.848204374,1077.163411,801.24,0.591523015,0.501056251
1822,1.848384891,1077.973651,801.68,0.591643057,0.500950064
1823,1.848565408,1078.78397,802.12,0.591763011,0.500843878
1824,1.848745924,1079.594368,802.56,0.591882877,0.500737691
1825,1.848926441,1080.404846,803,0.592002655,0.500631505
1826,1.849106958,1081.215402,803.44,0.592122345,0.500525319
1827,1.849287475,1082.026038,803.88,0.592241947,0.500419132
1828,1.849467992,1082.836753,804.32,0.592361462,0.500312946
1829,1.849648509,1083.647547,804.76,0.592480889,0.500206759
1830,1.849829026,1084.45842,805.2,0.592600229,0.500100573
1831,1.850009543,1085.269372,805.64,0.592719482,0.499994387
1832,1.85019006,1086.080403,806.08,0.592838648,0.4998882
1833,1.850370577,1086.891514,806.52,0.592957727,0.499782014
1834,1.850551093,1087.702703,806.96,0.593076719,0.499675827
1835,1.85073161,1088.513972,807.4,0.593195625,0.499569641
1836,1.850912127,1089.32532,807.84,0.593314444,0.499463455
1837,1.851092644,1090.136747,808.28,0.593433177,0.499357268
1838,1.851273161,1090.948253,808.72,0.593551824,0.499251082
1839,1.851453678,1091.759838,809.16,0.593670385,0.499144895
1840,1.851634195,1092.571503,809.6,0.59378886,0.499038709
1841,1.851814712,1093.383246,810.04,0.593907249,0.498932523
1842,1.851995229,1094.195069,810.48,0.594025553,0.498826336
1843,1.852175746,1095.00697,810.92,0.594143771,0.49872015
1844,1.852356262,1095.818951,811.36,0.594261904,0.498613963
1845,1.852536779,1096.631011,811.8,0.594379952,0.498507777
1846,1.852717296,1097.44315,812.24,0.594497915,0.49840159
1847,1.852897813,1098.255369,812.68,0.594615793,0.498295404
1848,1.85307833,1099.067666,813.12,0.594733586,0.498189218
1849,1.853258847,1099.880043,813.56,0.594851294,0.498083031
1850,1.853439364,1100.692498,814,0.594968918,0.497976845
1851,1.853619881,1101.505033,814.44,0.595086458,0.497870658
1852,1.853800398,1102.317647,814.88,0.595203913,0.497764472
1853,1.853980915,1103.13034,815.32,0.595321284,0.497658286
1854,1.854161431,1103.943112,815.76,0.595438572,0.497552099
1855,1.854341948,1104.755964,816.2,0.595555776,0.497445913
1856,1.854522465,1105.568894,816.64,0.595672896,0.497339726
1857,1.854702982,1106.381904,817.08,0.595789932,0.49723354
1858,1.854883499,1107.194992,817.52,0.595906885,0.497127354
1859,1.855064016,1108.00816,817.96,0.596023755,0.497021167
1860,1.855244533,1108.821407,818.4,0.596140542,0.496914981
1861,1.85542505,1109.634733,818.84,0.596257245,0.496808794
1862,1.855605567,1110.448139,819.28,0.596373866,0.496702608
1863,1.855786083,1111.261623,819.72,0.596490404,0.496596421
1864,1.8559666,1112.075186,820.16,0.59660686,0.496490235
1865,1.856147117,1112.888829,820.6,0.596723233,0.496384049
1866,1.856327634,1113.702551,821.04,0.596839523,0.496277862
1867,1.856508151,1114.516352,821.48,0.596955732,0.496171676
1868,1.856688668,1115.330232,821.92,0.597071858,0.496065489
1869,1.856869185,1116.144191,822.36,0.597187903,0.495959303
1870,1.857049702,1116.958229,822.8,0.597303866,0.495853117
1871,1.857230219,1117.772346,823.24,0.597419747,0.49574693
1872,1.857410736,1118.586543,823.68,0.597535546,0.495640744
1873,1.857591252,1119.400819,824.12,0.597651265,0.495534557
1874,1.857771769,1120.215173,824.56,0.597766901,0.495428371
1875,1.857952286,1121.029607,825,0.597882457,0.495322185
1876,1.858132803,1121.84412,825.44,0.597997932,0.495215998
1877,1.85831332,1122.658712,825.88,0.598113326,0.495109812
1878,1.858493837,1123.473384,826.32,0.598228639,0.495003625
1879,1.858674354,1124.288134,826.76,0.598343871,0.494897439
1880,1.858854871,1125.102964,827.2,0.598459023,0.494791252
1881,1.859035388,1125.917872,827.64,0.598574095,0.494685066
1882,1.859215905,1126.73286,828.08,0.598689086,0.49457888
1883,1.859396421,1127.547927,828.52,0.598803997,0.494472693
1884,1.859576938,1128.363073,828.96,0.598918829,0.494366507
1885,1.859757455,1129.178299,829.4,0.59903358,0.49426032
1886,1.859937972,1129.993603,829.84,0.599148252,0.494154134
1887,1.860118489,1130.808986,830.28,0.599262844,0.494047948
1888,1.860299006,1131.624449,830.72,0.599377356,0.493941761
1889,1.860479523,1132.439991,831.16,0.59949179,0.493835575
1890,1.86066004,1133.255611,831.6,0.599606144,0.493729388
1891,1.860840557,1134.071311,832.04,0.599720419,0.493623202
1892,1.861021074,1134.887091,832.48,0.599834614,0.493517016
1893,1.86120159,1135.702949,832.92,0.599948732,0.493410829
1894,1.861382107,1136.518886,833.36,0.60006277,0.493304643
1895,1.861562624,1137.334903,833.8,0.60017673,0.493198456
1896,1.861743141,1138.150998,834.24,0.600290611,0.49309227
1897,1.861923658,1138.967173,834.68,0.600404414,0.492986083
1898,1.862104175,1139.783427,835.12,0.600518139,0.492879897
1899,1.862284692,1140.59976,835.56,0.600631785,0.492773711
1900,1.862465209,1141.416172,836,0.600745354,0.492667524
1901,1.862645726,1142.232663,836.44,0.600858845,0.492561338
1902,1.862826243,1143.049234,836.88,0.600972258,0.492455151
1903,1.863006759,1143.865883,837.32,0.601085593,0.492348965
1904,1.863187276,1144.682612,837.76,0.601198851,0.492242779
1905,1.863367793,1145.49942,838.2,0.601312031,0.492136592
1906,1.86354831,1146.316307,838.64,0.601425135,0.492030406
1907,1.863728827,1147.133273,839.08,0.601538161,0.491924219
1908,1.863909344,1147.950318,839.52,0.60165111,0.491818033
1909,1.864089861,1148.767442,839.96,0.601763982,0.491711847
1910,1.864270378,1149.584646,840.4,0.601876778,0.49160566
1911,1.864450895,1150.401928,840.84,0.601989497,0.491499474
1912,1.864631412,1151.21929,841.28,0.602102139,0.491393287
1913,1.864811928,1152.036731,841.72,0.602214705,0.491287101
1914,1.864992445,1152.854251,842.16,0.602327195,0.491180915
1915,1.865172962,1153.67185,842.6,0.602439608,0.491074728
1916,1.865353479,1154.489528,843.04,0.602551946,0.490968542
1917,1.865533996,1155.307286,843.48,0.602664207,0.490862355
1918,1.865714513,1156.125122,843.92,0.602776393,0.490756169
1919,1.86589503,1156.943038,844.36,0.602888503,0.490649982
1920,1.866075547,1157.761032,844.8,0.603000538,0.490543796
1921,1.866256064,1158.579106,845.24,0.603112497,0.49043761
1922,1.866436581,1159.397259,845.68,0.603224381,0.490331423
1923,1.866617097,1160.215491,846.12,0.603336189,0.490225237
1924,1.866797614,1161.033803,846.56,0.603447922,0.49011905
1925,1.866978131,1161.852193,847,0.603559581,0.490012864
1926,1.867158648,1162.670663,847.44,0.603671164,0.489906678
1927,1.867339165,1163.489211,847.88,0.603782673,0.489800491
1928,1.867519682,1164.307839,848.32,0.603894107,0.489694305
1929,1.867700199,1165.126546,848.76,0.604005467,0.489588118
1930,1.867880716,1165.945332,849.2,0.604116752,0.489481932
1931,1.868061233,1166.764197,849.64,0.604227963,0.489375746
1932,1.86824175,1167.583141,850.08,0.6043391,0.489269559
1933,1.868422266,1168.402165,850.52,0.604450163,0.489163373
1934,1.868602783,1169.221267,850.96,0.604561152,0.489057186
1935,1.8687833,1170.040449,851.4,0.604672067,0.488951
1936,1.868963817,1170.85971,851.84,0.604782908,0.488844813
1937,1.869144334,1171.67905,852.28,0.604893676,0.488738627
1938,1.869324851,1172.498469,852.72,0.60500437,0.488632441
1939,1.869505368,1173.317967,853.16,0.605114991,0.488526254
1940,1.869685885,1174.137545,853.6,0.605225538,0.488420068
1941,1.869866402,1174.957201,854.04,0.605336013,0.488313881
1942,1.870046918,1175.776937,854.48,0.605446414,0.488207695
1943,1.870227435,1176.596751,854.92,0.605556743,0.488101509
1944,1.870407952,1177.416645,855.36,0.605666999,0.487995322
1945,1.870588469,1178.236618,855.8,0.605777182,0.487889136
1946,1.870768986,1179.05667,856.24,0.605887292,0.487782949
1947,1.870949503,1179.876802,856.68,0.60599733,0.487676763
1948,1.87113002,1180.697012,857.12,0.606107296,0.487570577
1949,1.871310537,1181.517301,857.56,0.606217189,0.48746439
1950,1.871491054,1182.33767,858,0.60632701,0.487358204
1951,1.871671571,1183.158118,858.44,0.60643676,0.487252017
1952,1.871852087,1183.978645,858.88,0.606546437,0.487145831
1953,1.872032604,1184.799251,859.32,0.606656042,0.487039644
1954,1.872213121,1185.619936,859.76,0.606765576,0.486933458
1955,1.872393638,1186.4407,860.2,0.606875038,0.486827272
1956,1.872574155,1187.261544,860.64,0.606984429,0.486721085
1957,1.872754672,1188.082466,861.08,0.607093749,0.486614899
1958,1.872935189,1188.903468,861.52,0.607202997,0.486508712
1959,1.873115706,1189.724549,861.96,0.607312174,0.486402526
1960,1.873296223,1190.545709,862.4,0.60742128,0.48629634
1961,1.87347674,1191.366948,862.84,0.607530315,0.486190153
1962,1.873657256,1192.188266,863.28,0.607639279,0.486083967
1963,1.873837773,1193.009663,863.72,0.607748173,0.48597778
1964,1.87401829,1193.83114,864.16,0.607856996,0.485871594
1965,1.874198807,1194.652695,864.6,0.607965748,0.485765408
1966,1.874379324,1195.47433,865.04,0.60807443,0.485659221
1967,1.874559841,1196.296044,865.48,0.608183042,0.485553035
1968,1.874740358,1197.117837,865.92,0.608291584,0.485446848
1969,1.874920875,1197.939709,866.36,0.608400055,0.485340662
1970,1.875101392,1198.76166,866.8,0.608508457,0.485234475
1971,1.875281909,1199.58369,867.24,0.608616789,0.485128289
1972,1.875462425,1200.4058,867.68,0.608725051,0.485022103
1973,1.875642942,1201.227988,868.12,0.608833243,0.484915916
1974,1.875823459,1202.050256,868.56,0.608941366,0.48480973
1975,1.876003976,1202.872603,869,0.609049419,0.484703543
1976,1.876184493,1203.695029,869.44,0.609157403,0.484597357
1977,1.87636501,1204.517534,869.88,0.609265318,0.484491171
1978,1.876545527,1205.340118,870.32,0.609373164,0.484384984
1979,1.876726044,1206.162782,870.76,0.609480941,0.484278798
1980,1.876906561,1206.985524,871.2,0.609588649,0.484172611
1981,1.877087078,1207.808346,871.64,0.609696288,0.484066425
1982,1.877267594,1208.631247,872.08,0.609803858,0.483960239
1983,1.877448111,1209.454227,872.52,0.60991136,0.483854052
1984,1.877628628,1210.277286,872.96,0.610018793,0.483747866
1985,1.877809145,1211.100424,873.4,0.610126158,0.483641679
1986,1.877989662,1211.923641,873.84,0.610233455,0.483535493
1987,1.878170179,1212.746938,874.28,0.610340683,0.483429307
1988,1.878350696,1213.570313,874.72,0.610447844,0.48332312
1989,1.878531213,1214.393768,875.16,0.610554936,0.483216934
1990,1.87871173,1215.217302,875.6,0.610661961,0.483110747
1991,1.878892247,1216.040915,876.04,0.610768917,0.483004561
1992,1.879072763,1216.864607,876.48,0.610875807,0.482898374
1993,1.87925328,1217.688378,876.92,0.610982628,0.482792188
1994,1.879433797,1218.512228,877.36,0.611089382,0.482686002
1995,1.879614314,1219.336158,877.8,0.611196069,0.482579815
1996,1.879794831,1220.160166,878.24,0.611302689,0.482473629
1997,1.879975348,1220.984254,878.68,0.611409241,0.482367442
1998,1.880155865,1221.808421,879.12,0.611515726,0.482261256
1999,1.880336382,1222.632667,879.56,0.611622145,0.48215507
2000,1.880516899,1223.456992,880,0.611728496,0.482048883
2001,1.880697416,1224.281396,880.44,0.611834781,0.481942697
2002,1.880877932,1225.10588,880.88,0.611940999,0.48183651
2003,1.881058449,1225.930442,881.32,0.61204715,0.481730324
2004,1.881238966,1226.755084,881.76,0.612153235,0.481624138
2005,1.881419483,1227.579805,882.2,0.612259254,0.481517951
2006,1.8816,1228.404604,882.64,0.612365207,0.481411765
2007,1.881780517,1229.229483,883.08,0.612471093,0.481305578
2008,1.881961034,1230.054442,883.52,0.612576913,0.481199392
2009,1.882141551,1230.879479,883.96,0.612682667,0.481093205
2010,1.882322068,1231.704595,884.4,0.612788356,0.480987019
2011,1.882502584,1232.529791,884.84,0.612893979,0.480880833
2012,1.882683101,1233.355066,885.28,0.612999536,0.480774646
2013,1.882863618,1234.180419,885.72,0.613105027,0.48066846
