Depth (ft),Density (g/cm^3),Overburden stress (psi),Hydrostatic pore pressure (psi),Overburden gradient (psi/ft),Porosity (-)
144,1,63.12244081,63.36,0.438350283,1
145,1,63.56079109,63.8,0.438350283,1
146,1,63.99914138,64.24,0.438350283,1
147,1,64.43749166,64.68,0.438350283,1
148,1,64.87584194,65.12,0.438350283,1
149,1,65.31419223,65.56,0.438350283,1
150,1,65.75254251,66,0.438350283,1
151,1,66.19089279,66.44,0.438350283,1
152,1,66.62924308,66.88,0.438350283,1
153,1,67.06759336,67.32,0.438350283,1
154,1,67.50594364,67.76,0.438350283,1
155,1,67.94429393,68.2,0.438350283,1
156,1,68.38264421,68.64,0.438350283,1
157,1,68.82099449,69.08,0.438350283,1
158,1,69.25934478,69.52,0.438350283,1
159,1,69.69769506,69.96,0.438350283,1
160,1,70.13604534,70.4,0.438350283,1
161,1,70.57439563,70.84,0.438350283,1
162,1,71.01274591,71.28,0.438350283,1
163,1,71.45109619,71.72,0.438350283,1
164,1,71.88944648,72.16,0.438350283,1
165,1,72.32779676,72.6,0.438350283,1
166,1,72.76614705,73.04,0.438350283,1
167,1,73.20449733,73.48,0.438350283,1
168,1,73.64284761,73.92,0.438350283,1
169,1,74.0811979,74.36,0.438350283,1
170,1,74.51954818,74.8,0.438350283,1
171,1,74.95789846,75.24,0.438350283,1
172,1,75.39624875,75.68,0.438350283,1
173,1,75.83459903,76.12,0.438350283,1
174,1,76.27294931,76.56,0.438350283,1
175,1,76.7112996,77,0.438350283,1
176,1,77.14964988,77.44,0.438350283,1
177,1,77.58800016,77.88,0.438350283,1
178,1,78.02635045,78.32,0.438350283,1
179,1,78.46470073,78.76,0.438350283,1
180,1,78.90305101,79.2,0.438350283,1
181,1,79.3414013,79.64,0.438350283,1
182,1,79.77975158,80.08,0.438350283,1
183,1,80.21810186,80.52,0.438350283,1
184,1,80.65645215,80.96,0.438350283,1
185,1,81.09480243,81.4,0.438350283,1
186,1,81.53315271,81.84,0.438350283,1
187,1,81.971503,82.28,0.438350283,1
188,1,82.40985328,82.72,0.438350283,1
189,1,82.84820356,83.16,0.438350283,1
190,1,83.28655385,83.6,0.438350283,1
191,1,83.72490413,84.04,0.438350283,1
192,1,84.16325441,84.48,0.438350283,1
193,1,84.6016047,84.92,0.438350283,1
194,1,85.03995498,85.36,0.438350283,1
195,1,85.47830526,85.8,0.438350283,1
196,1,85.91665555,86.24,0.438350283,1
197,1,86.35500583,86.68,0.438350283,1
198,1,86.79335611,87.12,0.438350283,1
199,1,87.2317064,87.56,0.438350283,1
200,1,87.67005668,88,0.438350283,1
201,1,88.10840696,88.44,0.438350283,1
202,1,88.54675725,88.88,0.438350283,1
203,1,88.98510753,89.32,0.438350283,1
204,1,89.42345781,89.76,0.438350283,1
205,1,89.8618081,90.2,0.438350283,1
206,1,90.30015838,90.64,0.438350283,1
207,1,90.73850866,91.08,0.438350283,1
208,1,91.17685895,91.52,0.438350283,1
209,1,91.61520923,91.96,0.438350283,1
210,1,92.05355951,92.4,0.438350283,1
211,1,92.4919098,92.84,0.438350283,1
212,1,92.93026008,93.28,0.438350283,1
213,1,93.36861036,93.72,0.438350283,1
214,1,93.80696065,94.16,0.438350283,1
215,1,94.24531093,94.6,0.438350283,1
216,1,94.68366122,95.04,0.438350283,1
217,1,95.1220115,95.48,0.438350283,1
218,1,95.56036178,95.92,0.438350283,1
219,1,95.99871207,96.36,0.438350283,1
220,1,96.43706235,96.8,0.438350283,1
221,1,96.87541263,97.24,0.438350283,1
222,1,97.31376292,97.68,0.438350283,1
223,1,97.7521132,98.12,0.438350283,1
224,1,98.19046348,98.56,0.438350283,1
225,1,98.62881377,99,0.438350283,1
226,1,99.06716405,99.44,0.438350283,1
227,1,99.50551433,99.88,0.438350283,1
228,1,99.94386462,100.32,0.438350283,1
229,1,100.3822149,100.76,0.438350283,1
230,1,100.8205652,101.2,0.438350283,1
231,1,101.2589155,101.64,0.438350283,1
232,1,101.6972657,102.08,0.438350283,1
233,1,102.135616,102.52,0.438350283,1
234,1,102.5739663,102.96,0.438350283,1
235,1,103.0123166,103.4,0.438350283,1
236,1,103.4506669,103.84,0.438350283,1
237,1,103.8890172,104.28,0.438350283,1
238,1,104.3273675,104.72,0.438350283,1
239,1,104.7657177,105.16,0.438350283,1
240,1,105.204068,105.6,0.438350283,1
241,1,105.6424183,106.04,0.438350283,1
242,1,106.0807686,106.48,0.438350283,1
243,1,106.5191189,106.92,0.438350283,1
244,1,106.9574692,107.36,0.438350283,1
245,1,107.3958194,107.8,0.438350283,1
246,1,107.8341697,108.24,0.438350283,1
247,1,108.27252,108.68,0.438350283,1
248,1,108.7108703,109.12,0.438350283,1
249,1,109.1492206,109.56,0.438350283,1
250,1,109.5875709,110,0.438350283,1
251,1,110.0259211,110.44,0.438350283,1
252,1,110.4642714,110.88,0.438350283,1
253,1,110.9026217,111.32,0.438350283,1
254,1,111.340972,111.76,0.438350283,1
255,1,111.7793223,112.2,0.438350283,1
256,1,112.2176726,112.64,0.438350283,1
257,1,112.6560228,113.08,0.438350283,1
258,1,113.0943731,113.52,0.438350283,1
259,1,113.5327234,113.96,0.438350283,1
260,1,113.9710737,114.4,0.438350283,1
261,1,114.409424,114.84,0.438350283,1
262,1,114.8477743,115.28,0.438350283,1
263,1,115.2861245,115.72,0.438350283,1
264,1,115.7244748,116.16,0.438350283,1
265,1,116.1628251,116.6,0.438350283,1
266,1,116.6011754,117.04,0.438350283,1
267,1,117.0395257,117.48,0.438350283,1
268,1,117.477876,117.92,0.438350283,1
269,1,117.9162262,118.36,0.438350283,1
270,1,118.3545765,118.8,0.438350283,1
271,1,118.7929268,119.24,0.438350283,1
272,1,119.2312771,119.68,0.438350283,1
273,1,119.6696274,120.12,0.438350283,1
274,1,120.1079777,120.56,0.438350283,1
275,1,120.5463279,121,0.438350283,1
276,1,120.9846782,121.44,0.438350283,1
277,1,121.4230285,121.88,0.438350283,1
278,1,121.8613788,122.32,0.438350283,1
279,1,122.2997291,122.76,0.438350283,1
280,1,122.7380794,123.2,0.438350283,1
281,1,123.1764296,123.64,0.438350283,1
282,1,123.6147799,124.08,0.438350283,1
283,1,124.0531302,124.52,0.438350283,1
284,1,124.4914805,124.96,0.438350283,1
285,1,124.9298308,125.4,0.438350283,1
286,1,125.3681811,125.84,0.438350283,1
287,1,125.8065313,126.28,0.438350283,1
288,1,126.2448816,126.72,0.438350283,1
289,1,126.6832319,127.16,0.438350283,1
290,1,127.1215822,127.6,0.438350283,1
291,1,127.5599325,128.04,0.438350283,1
292,1,127.9982828,128.48,0.438350283,1
293,1,128.436633,128.92,0.438350283,1
294,1,128.8749833,129.36,0.438350283,1
295,1,129.3133336,129.8,0.438350283,1
296,1,129.7516839,130.24,0.438350283,1
297,1,130.1900342,130.68,0.438350283,1
298,1,130.6283845,131.12,0.438350283,1
299,1,131.0667347,131.56,0.438350283,1
300,1,131.505085,132,0.438350283,1
301,1,131.9434353,132.44,0.438350283,1
302,1,132.3817856,132.88,0.438350283,1
303,1,132.8201359,133.32,0.438350283,1
304,1,133.2584862,133.76,0.438350283,1
305,1,133.6968364,134.2,0.438350283,1
306,1,134.1351867,134.64,0.438350283,1
307,1,134.573537,135.08,0.438350283,1
308,1,135.0118873,135.52,0.438350283,1
309,1,135.4502376,135.96,0.438350283,1
310,1,135.8885879,136.4,0.438350283,1
311,1,136.3269381,136.84,0.438350283,1
312,1,136.7652884,137.28,0.438350283,1
313,1,137.2036387,137.72,0.438350283,1
314,1,137.641989,138.16,0.438350283,1
315,1,138.0803393,138.6,0.438350283,1
316,1,138.5186896,139.04,0.438350283,1
317,1,138.9570398,139.48,0.438350283,1
318,1,139.3953901,139.92,0.438350283,1
319,1,139.8337404,140.36,0.438350283,1
320,1,140.2720907,140.8,0.438350283,1
321,1,140.710441,141.24,0.438350283,1
322,1,141.1487913,141.68,0.438350283,1
323,1,141.5871415,142.12,0.438350283,1
324,1,142.0254918,142.56,0.438350283,1
325,1,142.4638421,143,0.438350283,1
326,1,142.9021924,143.44,0.438350283,1
327,1,143.3405427,143.88,0.438350283,1
328,1,143.778893,144.32,0.438350283,1
329,1,144.2172432,144.76,0.438350283,1
330,1,144.6555935,145.2,0.438350283,1
331,1,145.0939438,145.64,0.438350283,1
332,1,145.5322941,146.08,0.438350283,1
333,1,145.9706444,146.52,0.438350283,1
334,1,146.4089947,146.96,0.438350283,1
335,1,146.8473449,147.4,0.438350283,1
336,1,147.2856952,147.84,0.438350283,1
337,1,147.7240455,148.28,0.438350283,1
338,1,148.1623958,148.72,0.438350283,1
339,1,148.6007461,149.16,0.438350283,1
340,1,149.0390964,149.6,0.438350283,1
341,1,149.4774466,150.04,0.438350283,1
342,1,149.9157969,150.48,0.438350283,1
343,1,150.3541472,150.92,0.438350283,1
344,1,150.7924975,151.36,0.438350283,1
345,1,151.2308478,151.8,0.438350283,1
346,1,151.6691981,152.24,0.438350283,1
347,1,152.1075483,152.68,0.438350283,1
348,1,152.5458986,153.12,0.438350283,1
349,1,152.9842489,153.56,0.438350283,1
350,1,153.4225992,154,0.438350283,1
351,1,153.8609495,154.44,0.438350283,1
352,1,154.2992998,154.88,0.438350283,1
353,1,154.73765,155.32,0.438350283,1
354,1,155.1760003,155.76,0.438350283,1
355,1,155.6143506,156.2,0.438350283,1
356,1,156.0527009,156.64,0.438350283,1
357,1,156.4910512,157.08,0.438350283,1
358,1,156.9294015,157.52,0.438350283,1
359,1,157.3677517,157.96,0.438350283,1
360,1,157.806102,158.4,0.438350283,1
361,1,158.2444523,158.84,0.438350283,1
362,1,158.6828026,159.28,0.438350283,1
363,1,159.1211529,159.72,0.438350283,1
364,1,159.5595032,160.16,0.438350283,1
365,1,159.9978534,160.6,0.438350283,1
366,1,160.4362037,161.04,0.438350283,1
367,1,160.874554,161.48,0.438350283,1
368,1,161.3129043,161.92,0.438350283,1
369,1,161.7512546,162.36,0.438350283,1
370,1,162.1896049,162.8,0.438350283,1
371,1,162.6279551,163.24,0.438350283,1
372,1,163.0663054,163.68,0.438350283,1
373,1,163.5046557,164.12,0.438350283,1
374,1,163.943006,164.56,0.438350283,1
375,1,164.3813563,165,0.438350283,1
376,1,164.8197066,165.44,0.438350283,1
377,1,165.2580568,165.88,0.438350283,1
378,1,165.6964071,166.32,0.438350283,1
379,1,166.1347574,166.76,0.438350283,1
380,1,166.5731077,167.2,0.438350283,1
381,1,167.011458,167.64,0.438350283,1
382,1,167.4498083,168.08,0.438350283,1
383,1,167.8881585,168.52,0.438350283,1
384,1,168.3265088,168.96,0.438350283,1
385,1,168.7648591,169.4,0.438350283,1
386,1,169.2032094,169.84,0.438350283,1
387,1,169.6415597,170.28,0.438350283,1
388,1,170.07991,170.72,0.438350283,1
389,1,170.5182602,171.16,0.438350283,1
390,1,170.9566105,171.6,0.438350283,1
391,1,171.3949608,172.04,0.438350283,1
392,1,171.8333111,172.48,0.438350283,1
393,1,172.2716614,172.92,0.438350283,1
394,1,172.7100117,173.36,0.438350283,1
395,1,173.1483619,173.8,0.438350283,1
396,1,173.5867122,174.24,0.438350283,1
397,1,174.0250625,174.68,0.438350283,1
398,1,174.4634128,175.12,0.438350283,1
399,1,174.9017631,175.56,0.438350283,1
400,1,175.3401134,176,0.438350283,1
401,1,175.7784636,176.44,0.438350283,1
402,1,176.2168139,176.88,0.438350283,1
403,1,176.6551642,177.32,0.438350283,1
404,1,177.0935145,177.76,0.438350283,1
405,1,177.5318648,178.2,0.438350283,1
406,1,177.9702151,178.64,0.438350283,1
407,1,178.4085653,179.08,0.438350283,1
408,1,178.8469156,179.52,0.438350283,1
409,1,179.2852659,179.96,0.438350283,1
410,1,179.7236162,180.4,0.438350283,1
411,1,180.1619665,180.84,0.438350283,1
412,1,180.6003168,181.28,0.438350283,1
413,1,181.038667,181.72,0.438350283,1
414,1,181.4770173,182.16,0.438350283,1
415,1,181.9153676,182.6,0.438350283,1
416,1,182.3537179,183.04,0.438350283,1
417,1,182.7920682,183.48,0.438350283,1
418,1,183.2304185,183.92,0.438350283,1
419,1,183.6687687,184.36,0.438350283,1
420,1,184.107119,184.8,0.438350283,1
421,1,184.5454693,185.24,0.438350283,1
422,1,184.9838196,185.68,0.438350283,1
423,1,185.4221699,186.12,0.438350283,1
424,1,185.8605202,186.56,0.438350283,1
425,1,186.2988704,187,0.438350283,1
426,1,186.7372207,187.44,0.438350283,1
427,1,187.175571,187.88,0.438350283,1
428,1,187.6139213,188.32,0.438350283,1
429,1,188.0522716,188.76,0.438350283,1
430,1,188.4906219,189.2,0.438350283,1
431,1,188.9289721,189.64,0.438350283,1
432,1,189.3673224,190.08,0.438350283,1
433,1,189.8056727,190.52,0.438350283,1
434,1,190.244023,190.96,0.438350283,1
435,1,190.6823733,191.4,0.438350283,1
436,1,191.1207236,191.84,0.438350283,1
437,1,191.5590738,192.28,0.438350283,1
438,1,191.9974241,192.72,0.438350283,1
439,1,192.4357744,193.16,0.438350283,1
440,1,192.8741247,193.6,0.438350283,1
441,1,193.312475,194.04,0.438350283,1
442,1,193.7508253,194.48,0.438350283,1
443,1,194.1891755,194.92,0.438350283,1
444,1,194.6275258,195.36,0.438350283,1
445,1,195.0658761,195.8,0.438350283,1
446,1,195.5042264,196.24,0.438350283,1
447,1,195.9425767,196.68,0.438350283,1
448,1,196.380927,197.12,0.438350283,1
449,1,196.8192772,197.56,0.438350283,1
450,1,197.2576275,198,0.438350283,1
451,1,197.6959778,198.44,0.438350283,1
452,1,198.1343281,198.88,0.438350283,1
453,1,198.5726784,199.32,0.438350283,1
454,1,199.0110287,199.76,0.438350283,1
455,1,199.4493789,200.2,0.438350283,1
456,1,199.8877292,200.64,0.438350283,1
457,1,200.3260795,201.08,0.438350283,1
458,1,200.7644298,201.52,0.438350283,1
459,1,201.2027801,201.96,0.438350283,1
460,1,201.6411304,202.4,0.438350283,1
461,1,202.0794806,202.84,0.438350283,1
462,1,202.5178309,203.28,0.438350283,1
463,1,202.9561812,203.72,0.438350283,1
464,1,203.3945315,204.16,0.438350283,1
465,1,203.8328818,204.6,0.438350283,1
466,1,204.2712321,205.04,0.438350283,1
467,1,204.7095823,205.48,0.438350283,1
468,1,205.1479326,205.92,0.438350283,1
469,1,205.5862829,206.36,0.438350283,1
470,1,206.0246332,206.8,0.438350283,1
471,1,206.4629835,207.24,0.438350283,1
472,1,206.9013338,207.68,0.438350283,1
473,1,207.339684,208.12,0.438350283,1
474,1,207.7780343,208.56,0.438350283,1
475,1,208.2163846,209,0.438350283,1
476,1,208.6547349,209.44,0.438350283,1
477,1,209.0930852,209.88,0.438350283,1
478,1,209.5314355,210.32,0.438350283,1
479,1,209.9697858,210.76,0.438350283,1
480,1,210.408136,211.2,0.438350283,1
481,1,210.8464863,211.64,0.438350283,1
482,1,211.2848366,212.08,0.438350283,1
483,1,211.7231869,212.52,0.438350283,1
484,1,212.1615372,212.96,0.438350283,1
485,1,212.5998875,213.4,0.438350283,1
486,1,213.0382377,213.84,0.438350283,1
487,1,213.476588,214.28,0.438350283,1
488,1,213.9149383,214.72,0.438350283,1
489,1,214.3532886,215.16,0.438350283,1
490,1,214.7916389,215.6,0.438350283,1
491,1,215.2299892,216.04,0.438350283,1
492,1,215.6683394,216.48,0.438350283,1
493,1,216.1066897,216.92,0.438350283,1
494,1,216.54504,217.36,0.438350283,1
495,1,216.9833903,217.8,0.438350283,1
496,1,217.4217406,218.24,0.438350283,1
497,1,217.8600909,218.68,0.438350283,1
498,1,218.2984411,219.12,0.438350283,1
499,1,218.7367914,219.56,0.438350283,1
500,1,219.1751417,220,0.438350283,1
501,1,219.613492,220.44,0.438350283,1
502,1,220.0518423,220.88,0.438350283,1
503,1,220.4901926,221.32,0.438350283,1
504,1,220.9285428,221.76,0.438350283,1
505,1,221.3668931,222.2,0.438350283,1
506,1,221.8052434,222.64,0.438350283,1
507,1,222.2435937,223.08,0.438350283,1
508,1,222.681944,223.52,0.438350283,1
509,1,223.1202943,223.96,0.438350283,1
510,1,223.5586445,224.4,0.438350283,1
511,1,223.9969948,224.84,0.438350283,1
512,1,224.4353451,225.28,0.438350283,1
513,1,224.8736954,225.72,0.438350283,1
514,1,225.3120457,226.16,0.438350283,1
515,1,225.750396,226.6,0.438350283,1
516,1,226.1887462,227.04,0.438350283,1
517,1,226.6270965,227.48,0.438350283,1
518,1,227.0654468,227.92,0.438350283,1
519,1,227.5037971,228.36,0.438350283,1
520,1,227.9421474,228.8,0.438350283,1
521,1,228.3804977,229.24,0.438350283,1
522,1,228.8188479,229.68,0.438350283,1
523,1,229.2571982,230.12,0.438350283,1
524,1,229.6955485,230.56,0.438350283,1
525,1,230.1338988,231,0.438350283,1
526,1,230.5722491,231.44,0.438350283,1
527,1,231.0105994,231.88,0.438350283,1
528,1,231.4489496,232.32,0.438350283,1
529,1,231.8872999,232.76,0.438350283,1
530,1,232.3256502,233.2,0.438350283,1
531,1,232.7640005,233.64,0.438350283,1
532,1,233.2023508,234.08,0.438350283,1
533,1,233.6407011,234.52,0.438350283,1
534,1,234.0790513,234.96,0.438350283,1
535,1,234.5174016,235.4,0.438350283,1
536,1,234.9557519,235.84,0.438350283,1
537,1,235.3941022,236.28,0.438350283,1
538,1,235.8324525,236.72,0.438350283,1
539,1,236.2708028,237.16,0.438350283,1
540,1,236.709153,237.6,0.438350283,1
541,1,237.1475033,238.04,0.438350283,1
542,1,237.5858536,238.48,0.438350283,1
543,1,238.0242039,238.92,0.438350283,1
544,1,238.4625542,239.36,0.438350283,1
545,1,238.9009045,239.8,0.438350283,1
546,1,239.3392547,240.24,0.438350283,1
547,1,239.777605,240.68,0.438350283,1
548,1,240.2159553,241.12,0.438350283,1
549,1,240.6543056,241.56,0.438350283,1
550,1,241.0926559,242,0.438350283,1
551,1,241.5310062,242.44,0.438350283,1
552,1,241.9693564,242.88,0.438350283,1
553,1,242.4077067,243.32,0.438350283,1
554,1,242.846057,243.76,0.438350283,1
555,1,243.2844073,244.2,0.438350283,1
556,1,243.7227576,244.64,0.438350283,1
557,1,244.1611079,245.08,0.438350283,1
558,1,244.5994581,245.52,0.438350283,1
559,1,245.0378084,245.96,0.438350283,1
560,1,245.4761587,246.4,0.438350283,1
561,1,245.914509,246.84,0.438350283,1
562,1,246.3528593,247.28,0.438350283,1
563,1,246.7912096,247.72,0.438350283,1
564,1,247.2295598,248.16,0.438350283,1
565,1,247.6679101,248.6,0.438350283,1
566,1,248.1062604,249.04,0.438350283,1
567,1,248.5446107,249.48,0.438350283,1
568,1,248.982961,249.92,0.438350283,1
569,1,249.4213113,250.36,0.438350283,1
570,1,249.8596615,250.8,0.438350283,1
571,1,250.2980118,251.24,0.438350283,1
572,1,250.7363621,251.68,0.438350283,1
573,1,251.1747124,252.12,0.438350283,1
574,1,251.6130627,252.56,0.438350283,1
575,1,252.051413,253,0.438350283,1
576,1,252.4897632,253.44,0.438350283,1
577,1,252.9281135,253.88,0.438350283,1
578,1,253.3664638,254.32,0.438350283,1
579,1,253.8048141,254.76,0.438350283,1
580,1,254.2431644,255.2,0.438350283,1
581,1,254.6815147,255.64,0.438350283,1
582,1,255.1198649,256.08,0.438350283,1
583,1,255.5582152,256.52,0.438350283,1
584,1,255.9965655,256.96,0.438350283,1
585,1,256.4349158,257.4,0.438350283,1
586,1,256.8732661,257.84,0.438350283,1
587,1,257.3116164,258.28,0.438350283,1
588,1,257.7499666,258.72,0.438350283,1
589,1,258.1883169,259.16,0.438350283,1
590,1,258.6266672,259.6,0.438350283,1
591,1,259.0650175,260.04,0.438350283,1
592,1,259.5033678,260.48,0.438350283,1
593,1,259.9417181,260.92,0.438350283,1
594,1,260.3800683,261.36,0.438350283,1
595,1,260.8184186,261.8,0.438350283,1
596,1,261.2567689,262.24,0.438350283,1
597,1,261.6951192,262.68,0.438350283,1
598,1,262.1334695,263.12,0.438350283,1
599,1,262.5718198,263.56,0.438350283,1
600,1,263.01017,264,0.438350283,1
601,1,263.4485203,264.44,0.438350283,1
602,1,263.8868706,264.88,0.438350283,1
603,1,264.3252209,265.32,0.438350283,1
604,1,264.7635712,265.76,0.438350283,1
605,1,265.2019215,266.2,0.438350283,1
606,1,265.6402717,266.64,0.438350283,1
607,1,266.078622,267.08,0.438350283,1
608,1,266.5169723,267.52,0.438350283,1
609,1,266.9553226,267.96,0.438350283,1
610,1,267.3936729,268.4,0.438350283,1
611,1,267.8320232,268.84,0.438350283,1
612,1,268.2703734,269.28,0.438350283,1
613,1,268.7087237,269.72,0.438350283,1
614,1,269.147074,270.16,0.438350283,1
