Depth (ft),Sv (psi)
5895.5,6630.53069
5896,6631.085414
5896.5,6631.640261
5897,6632.200656
5897.5,6632.763532
5898,6633.323207
5898.5,6633.898564
5899,6634.495086
5899.5,6635.091784
5900,6635.674518
5900.5,6636.242732
5901,6636.804057
5901.5,6637.35928
5902,6637.908666
5902.5,6638.460733
5903,6639.017684
5903.5,6639.578577
5904,6640.147145
5904.5,6640.716268
5905,6641.284592
5905.5,6641.852862
5906,6642.415316
5906.5,6642.974371
5907,6643.536849
5907.5,6644.101696
5908,6644.660418
5908.5,6645.218665
5909,6645.780644
5909.5,6646.349112
5910,6646.922111
5910.5,6647.487755
5911,6648.048582
5911.5,6648.612532
5912,6649.177723
5912.5,6649.748517
5913,6650.330176
5913.5,6650.90797
5914,6651.475608
5914.5,6652.041795
5915,6652.609123
5915.5,6653.181756
5916,6653.75615
5916.5,6654.330289
5917,6654.899167
5917.5,6655.466229
5918,6656.039549
5918.5,6656.613898
5919,6657.190131
5919.5,6657.765942
5920,6658.334189
5920.5,6658.896257
5921,6659.463418
5921.5,6660.036051
5922,6660.613059
5922.5,6661.187619
5923,6661.758413
5923.5,6662.328787
5924,6662.886945
5924.5,6663.438435
5925,6663.997878
5925.5,6664.564741
5926,6665.133276
5926.5,6665.702309
5927,6666.27028
5927.5,6666.835381
5928,6667.401037
5928.5,6667.966416
5929,6668.530731
5929.5,6669.093851
5930,6669.663372
5930.5,6670.237688
5931,6670.806777
5931.5,6671.375135
5932,6671.943714
5932.5,6672.518307
5933,6673.115671
5933.5,6673.732293
5934,6674.348772
5934.5,6674.959824
5935,6675.567122
5935.5,6676.171905
5936,6676.775471
5936.5,6677.377541
5937,6677.982192
5937.5,6678.590752
5938,6679.198559
5938.5,6679.806288
5939,6680.414583
5939.5,6681.016277
5940,6681.621636
5940.5,6682.21787
5941,6682.807004
5941.5,6683.407845
5942,6684.008332
5942.5,6684.610236
5943,6685.213369
5943.5,6685.816757
5944,6686.421142
5944.5,6687.027332
5945,6687.635206
5945.5,6688.241164
5946,6688.845006
5946.5,6689.449679
5947,6690.054174
5947.5,6690.657341
5948,6691.261272
5948.5,6691.866919
5949,6692.471559
5949.5,6693.073773
5950,6693.674758
5950.5,6694.276197
5951,6694.8784
5951.5,6695.482752
5952,6696.086572
5952.5,6696.689007
5953,6697.292462
5953.5,6697.895075
5954,6698.499338
5954.5,6699.104542
5955,6699.70741
5955.5,6700.309469
5956,6700.912237
5956.5,6701.516589
5957,6702.12145
5957.5,6702.72599
5958,6703.330906
5958.5,6703.934915
5959,6704.538846
5959.5,6705.143253
5960,6705.745954
5960.5,6706.348645
5961,6706.95149
5961.5,6707.54985
5962,6708.144002
5962.5,6708.735473
5963,6709.32525
5963.5,6709.917109
5964,6710.511361
5964.5,6711.10714
5965,6711.705932
5965.5,6712.304946
5966,6712.903561
5966.5,6713.504977
5967,6714.107967
5967.5,6714.710879
5968,6715.314677
5968.5,6715.91843
5969,6716.522727
5969.5,6717.126148
5970,6717.727155
5970.5,6718.336457
5971,6718.960666
5971.5,6719.591111
5972,6720.218587
5972.5,6720.839917
5973,6721.446528
5973.5,6722.03842
5974,6722.629902
5974.5,6723.231851
5975,6723.837077
5975.5,6724.438804
5976,6725.0399
5976.5,6725.640996
5977,6726.243874
5977.5,6726.848137
5978,6727.452334
5978.5,6728.056364
5979,6728.665058
5979.5,6729.287185
5980,6729.915624
5980.5,6730.537685
5981,6731.151329
5981.5,6731.754595
5982,6732.353077
5982.5,6732.953796
5983,6733.555656
5983.5,6734.157792
5984,6734.760106
5984.5,6735.361623
5985,6735.972276
5985.5,6736.592055
5986,6737.203107
5986.5,6737.805953
5987,6738.408001
5987.5,6739.009141
5988,6739.610203
5988.5,6740.209427
5989,6740.810091
5989.5,6741.414155
5990,6742.017299
5990.5,6742.618716
5991,6743.219147
5991.5,6743.819977
5992,6744.423476
5992.5,6745.028193
5993,6745.631836
5993.5,6746.235213
5994,6746.838811
5994.5,6747.443119
5995,6748.048877
5995.5,6748.655001
5996,6749.262343
5996.5,6749.873162
5997,6750.480903
5997.5,6751.084723
5998,6751.689783
5998.5,6752.294091
5999,6752.896393
5999.5,6753.497766
6000,6754.100789
6000.5,6754.705306
6001,6755.310466
6001.5,6755.916335
6002,6756.521662
6002.5,6757.12608
6003,6757.731672
6003.5,6758.336954
6004,6758.941593
6004.5,6759.546056
6005,6760.147606
6005.5,6760.748834
6006,6761.353363
6006.5,6761.959398
6007,6762.563816
6007.5,6763.169021
6008,6763.775931
6008.5,6764.383605
6009,6764.993804
6009.5,6765.61283
6010,6766.240838
6010.5,6766.867882
6011,6767.49022
6011.5,6768.114097
6012,6768.739181
6012.5,6769.362316
6013,6769.978418
6013.5,6770.586192
6014,6771.198108
6014.5,6771.816945
6015,6772.437876
6015.5,6773.059837
6016,6773.68006
6016.5,6774.297125
6017,6774.908266
6017.5,6775.514201
6018,6776.11945
6018.5,6776.722827
6019,6777.325019
6019.5,6777.929249
6020,6778.536912
6020.5,6779.144664
6021,6779.749093
6021.5,6780.348073
6022,6780.946289
6022.5,6781.547031
6023,6782.149212
6023.5,6782.751559
6024,6783.352544
6024.5,6783.951768
6025,6784.552476
6025.5,6785.153527
6026,6785.753105
6026.5,6786.355785
6027,6786.959826
6027.5,6787.564831
6028,6788.16987
6028.5,6788.774609
6029,6789.380976
6029.5,6789.986801
6030,6790.590787
6030.5,6791.198351
6031,6791.814364
6031.5,6792.432537
6032,6793.044387
6032.5,6793.651574
6033,6794.255959
6033.5,6794.857719
6034,6795.459922
6034.5,6796.06269
6035,6796.666222
6035.5,6797.270673
6036,6797.875523
6036.5,6798.480429
6037,6799.083928
6037.5,6799.685101
6038,6800.287946
6038.5,6800.890991
6039,6801.492308
6039.5,6802.094733
6040,6802.697711
6040.5,6803.300446
6041,6803.901929
6041.5,6804.502981
6042,6805.106048
6042.5,6805.710056
6043,6806.313167
6043.5,6806.916267
6044,6807.51888
6044.5,6808.120065
6045,6808.719942
6045.5,6809.322245
6046,6809.927305
6046.5,6810.531867
6047,6811.135588
6047.5,6811.739928
6048,6812.345199
6048.5,6812.948809
6049,6813.550979
6049.5,6814.153758
6050,6814.757821
6050.5,6815.364056
6051,6815.969194
6051.5,6816.573723
6052,6817.181153
6052.5,6817.789337
6053,6818.395715
6053.5,6819.000732
6054,6819.606977
6054.5,6820.217132
6055,6820.831495
6055.5,6821.449193
6056,6822.070877
6056.5,6822.694787
6057,6823.320513
6057.5,6823.947978
6058,6824.574746
6058.5,6825.198058
6059,6825.811635
6059.5,6826.417725
6060,6827.025533
6060.5,6827.640848
6061,6828.267527
6061.5,6828.898824
6062,6829.524385
6062.5,6830.137763
6063,6830.741295
6063.5,6831.344716
6064,6831.949123
6064.5,6832.5527
6065,6833.156929
6065.5,6833.760749
6066,6834.363506
6066.5,6834.966197
6067,6835.56943
6067.5,6836.176118
6068,6836.783416
6068.5,6837.386561
6069,6837.988852
6069.5,6838.593736
6070,6839.199892
6070.5,6839.801819
6071,6840.402095
6071.5,6841.004907
6072,6841.609081
6072.5,6842.213345
6073,6842.816168
6073.5,6843.419523
6074,6844.023797
6074.5,6844.627971
6075,6845.232711
6075.5,6845.837572
6076,6846.44354
6076.5,6847.050284
6077,6847.655168
6077.5,6848.258556
6078,6848.860947
6078.5,6849.463195
6079,6850.065697
6079.5,6850.666549
6080,6851.267268
6080.5,6851.869892
6081,6852.474443
6081.5,6853.080179
6082,6853.686026
6082.5,6854.29154
6083,6854.896069
6083.5,6855.499258
6084,6856.101439
6084.5,6856.703775
6085,6857.305037
6085.5,6857.906509
6086,6858.508845
6086.5,6859.111757
6087,6859.718058
6087.5,6860.322243
6088,6860.922231
6088.5,6861.523105
6089,6862.128155
6089.5,6862.733924
6090,6863.338032
6090.5,6863.94255
6091,6864.546935
6091.5,6865.151109
6092,6865.754121
6092.5,6866.358484
6093,6866.964098
6093.5,6867.569369
6094,6868.174695
6094.5,6868.781572
6095,6869.390121
6095.5,6869.996876
6096,6870.600065
6096.5,6871.203187
6097,6871.808015
6097.5,6872.411259
6098,6873.01035
6098.5,6873.606252
6099,6874.204678
6099.5,6874.806139
6100,6875.409262
6100.5,6876.014101
6101,6876.617887
6101.5,6877.219426
6102,6877.81989
6102.5,6878.420432
6103,6879.021085
6103.5,6879.623775
6104,6880.227019
6104.5,6880.828569
6105,6881.428746
6105.5,6882.029199
6106,6882.630804
6106.5,6883.234613
6107,6883.839806
6107.5,6884.444989
6108,6885.050171
6108.5,6885.653338
6109,6886.254012
6109.5,6886.8542
6110,6887.455295
6110.5,6888.058606
6111,6888.662127
6111.5,6889.26464
6112,6889.867907
6112.5,6890.471095
6113,6891.074749
6113.5,6891.678813
6114,6892.282678
6114.5,6892.884283
6115,6893.484138
6115.5,6894.085743
6116,6894.690781
6116.5,6895.295964
6117,6895.898709
6117.5,6896.499008
6118,6897.097766
6118.5,6897.699316
6119,6898.30266
6119.5,6898.904675
6120,6899.505516
6120.5,6900.106379
6121,6900.706201
6121.5,6901.304971
6122,6901.903275
6122.5,6902.501192
6123,6903.100738
6123.5,6903.701169
6124,6904.302608
6124.5,6904.90377
6125,6905.503924
6125.5,6906.103602
6126,6906.702305
6126.5,6907.301075
6127,6907.900332
6127.5,6908.500143
6128,6909.101173
6128.5,6909.702667
6129,6910.304604
6129.5,6910.907284
6130,6911.50705
6130.5,6912.104701
6131,6912.70562
6131.5,6913.308986
6132,6913.91171
6132.5,6914.514012
6133,6915.117002
6133.5,6915.720301
6134,6916.322759
6134.5,6916.92401
6135,6917.525371
6135.5,6918.129003
6136,6918.732579
6136.5,6919.334484
6137,6919.937263
6137.5,6920.539842
6138,6921.140207
6138.5,6921.738888
6139,6922.337293
6139.5,6922.937724
6140,6923.540182
6140.5,6924.144312
6141,6924.751875
6141.5,6925.360867
6142,6925.967667
6142.5,6926.573801
6143,6927.182229
6143.5,6927.79173
6144,6928.400944
6144.5,6929.007743
6145,6929.611862
6145.5,6930.214287
6146,6930.815991
6146.5,6931.419081
6147,6932.02269
6147.5,6932.627175
6148,6933.234838
6148.5,6933.843863
6149,6934.449256
6149.5,6935.051437
6150,6935.647704
6150.5,6936.244912
6151,6936.851446
6151.5,6937.459507
6152,6938.068178
6152.5,6938.678909
6153,6939.296484
6153.5,6939.924049
6154,6940.554771
6154.5,6941.184008
6155,6941.812481
6155.5,6942.433666
6156,6943.043976
6156.5,6943.647841
6157,6944.249424
6157.5,6944.850043
6158,6945.450607
6158.5,6946.052423
6159,6946.653762
6159.5,6947.256386
6160,6947.8622
6160.5,6948.468179
6161,6949.072088
6161.5,6949.67655
6162,6950.279606
6162.5,6950.879783
6163,6951.481919
6163.5,6952.08626
6164,6952.690135
6164.5,6953.293368
6165,6953.895206
6165.5,6954.496999
6166,6955.099922
6166.5,6955.701583
6167,6956.301095
6167.5,6956.899101
6168,6957.497106
6168.5,6958.095965
6169,6958.694646
6169.5,6959.29325
6170,6959.890857
6170.5,6960.490291
6171,6961.091896
6171.5,6961.693424
6172,6962.297399
6172.5,6962.893433
6173,6963.468115
6173.5,6964.007656
6174,6964.423278
6174.5,6964.797968
6175,6965.242784
6175.5,6965.698819
6176,6966.155353
6176.5,6966.613072
6177,6967.073116
6177.5,6967.535896
6178,6967.999484
6178.5,6968.461943
6179,6968.924247
6179.5,6969.386828
6180,6969.847149
6180.5,6970.307182
6181,6970.770305
6181.5,6971.237659
6182,6971.705933
6182.5,6972.169665
6183,6972.63064
6183.5,6973.086077
6184,6973.538823
6184.5,6973.994991
6185,6974.452078
6185.5,6974.909454
6186,6975.366851
6186.5,6975.824249
6187,6976.281646
6187.5,6976.739044
6188,6977.196441
6188.5,6977.653839
6189,6978.111236
6189.5,6978.568634
6190,6979.026042
6190.5,6979.483484
6191,6979.941059
6191.5,6980.399187
6192,6980.859464
6192.5,6981.327837
6193,6981.823421
6193.5,6982.370194
6194,
6194.5,
6195,
